id,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
9744,0.26526526526526517,0.44952178533475085,0.27450980392156865,0.4779356144048815,0.450099746696979,0.3937115748423038,0.4303935809461766,0.63040862714374,0.4381445849707836,1.0
13893,0.8038038038038042,0.16896918172157305,0.7058823529411764,0.3021226867015565,0.3074846222024493,0.20143182167295723,0.2378254303794571,0.553746436432079,0.10474389796330735,0.7168599185208399
18277,0.22322322322322385,0.5100956429330505,0.6666666666666666,0.4011421886481015,0.3657220972240461,0.29890849144732645,0.3502321149323867,0.764616418833168,1.0,1.0
16176,0.19119119119119077,0.552603613177471,0.9999999999999999,0.1971834176788535,0.17232465162192695,0.08765403022601784,0.1730493310660787,0.8715847490261871,0.43298996705168225,0.2533688498903165
8843,0.5925925925925934,0.16471838469713118,0.5294117647058824,0.5621228309482997,0.6603070209178603,0.45410859220555994,0.6386809229973732,0.44445830200081293,0.5317524463816644,1.0
7653,0.6036036036036041,0.13708820403825728,0.5294117647058824,0.47558609957864095,0.4705601054107881,0.43966439858588885,0.46721184275322347,0.6004265002543094,0.38247471144448886,1.0
14056,0.7177177177177185,0.022316684378321128,0.43137254901960786,0.5620483750985643,0.6361582294500399,0.4729960848370431,0.6246258079387559,0.38917302227256495,0.24742372196403312,0.29191476026324037
18819,0.4064064064064077,0.7577045696068012,0.7647058823529411,0.34362631007198174,0.3254977175736677,0.24674446574706008,0.2986931146297555,0.41908454310800447,0.09793980231009355,0.7168599185208399
17145,0.21121121121121256,0.5217853347502661,0.3333333333333333,0.44081258363338754,0.47022065245578387,0.356668420907305,0.4705553787363107,0.6495215653740573,0.9270085484183571,0.29191476026324037
16187,0.30130130130130084,0.5749202975557921,0.9999999999999999,0.18569275487057518,0.2748631023084904,0.193318171216282,0.2282176657433627,0.11805906098743912,0.015465915604471737,0.7168599185208399
19666,0.34834834834834894,0.5281615302869285,0.3137254901960784,0.4429069427306927,0.40455733166807084,0.33928161165232856,0.3958575539358022,0.6044927380021036,0.31092861472736194,0.7168599185208399
